Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-structuredefinitions-xml,1,20,60378
Cross.list-byid-structuremaps,1,0,0
Cross.list-byid-structuremaps-json,1,0,0
Cross.list-byid-structuremaps-xml,1,0,0
Cross.list-byid-subscriptions,1,0,0
Cross.list-byid-subscriptions-json,1,0,0
Cross.list-byid-subscriptions-xml,1,1,0
Cross.list-byid-subscriptiontopics,1,0,0
Cross.list-byid-subscriptiontopics-json,1,0,0
Cross.list-byid-subscriptiontopics-xml,1,0,0
Cross.list-byid-substancenucleicacids,1,0,0
Cross.list-byid-substancenucleicacids-json,1,1,0
Cross.list-byid-substancenucleicacids-xml,1,1,0
Cross.list-byid-substancepolymers,1,0,0
Cross.list-byid-substancepolymers-json,1,0,0
Cross.list-byid-substancepolymers-xml,1,0,0
Cross.list-byid-substanceproteins,1,0,0
Cross.list-byid-substanceproteins-json,1,0,0
Cross.list-byid-substanceproteins-xml,1,1,0
Cross.list-byid-substancereferenceinformations,1,0,0
Cross.list-byid-substancereferenceinformations-json,1,0,0
Cross.list-byid-substancereferenceinformations-xml,1,1,0
Cross.list-byid-substances,1,0,292
Cross.list-byid-substances-json,1,0,302
Cross.list-byid-substances-xml,1,1,300
Cross.list-byid-substancesourcematerials,1,0,0
Cross.list-byid-substancesourcematerials-json,1,0,0
Cross.list-byid-substancesourcematerials-xml,1,0,0
Cross.list-byid-substancespecifications,1,0,0
Cross.list-byid-substancespecifications-json,1,0,0
Cross.list-byid-substancespecifications-xml,1,0,0
Cross.list-byid-supplydeliveries,1,0,0
Cross.list-byid-supplydeliveries-json,1,0,0
Cross.list-byid-supplydeliveries-xml,1,1,0
Cross.list-byid-supplyrequests,1,0,0
Cross.list-byid-supplyrequests-json,1,1,0
Cross.list-byid-supplyrequests-xml,1,1,0
Cross.list-byid-tasks,1,0,0
Cross.list-byid-tasks-json,1,0,0
Cross.list-byid-tasks-xml,1,1,0
Cross.list-byid-terminologycapabilities,1,0,0
Cross.list-byid-terminologycapabilities-json,1,1,0
Cross.list-byid-terminologycapabilities-xml,1,1,0
Cross.list-byid-testplans,1,0,0
Cross.list-byid-testplans-json,1,0,0
Cross.list-byid-testplans-xml,1,1,0
Cross.list-byid-testreports,1,0,0
Cross.list-byid-testreports-json,1,0,0
Cross.list-byid-testreports-xml,1,0,0
Cross.list-byid-testscripts,1,0,0
Cross.list-byid-testscripts-json,1,1,0
Cross.list-byid-testscripts-xml,1,1,0
Cross.list-byid-valuesets,1,3,5843
Cross.list-byid-valuesets-json,1,3,5958
Cross.list-byid-valuesets-xml,1,4,5935
Cross.list-byid-verificationresults,1,0,0
Cross.list-byid-verificationresults-json,1,1,0
Cross.list-byid-verificationresults-xml,1,1,0
Cross.list-byid-visionprescriptions,1,0,0
Cross.list-byid-visionprescriptions-json,1,0,0
Cross.list-byid-visionprescriptions-xml,1,0,0
Cross.list-capabilitystatements,1,0,0
Cross.list-capabilitystatements-json,1,0,0
Cross.list-capabilitystatements-xml,1,0,0
Cross.list-careplans,1,0,0
Cross.list-careplans-json,1,0,0
Cross.list-careplans-xml,1,1,0
Cross.list-careteams,1,0,0
Cross.list-careteams-json,1,0,0
Cross.list-careteams-xml,1,0,0
Cross.list-catalogentries,1,0,0
Cross.list-catalogentries-json,1,0,0
Cross.list-catalogentries-xml,1,0,0
Cross.list-chargeitemdefinitions,1,0,0
Cross.list-chargeitemdefinitions-json,1,0,0
Cross.list-chargeitemdefinitions-xml,1,1,0
Cross.list-chargeitems,1,0,0
Cross.list-chargeitems-json,1,0,0
Cross.list-chargeitems-xml,1,1,0
Cross.list-claimresponses,1,0,0
Cross.list-claimresponses-json,1,1,0
Cross.list-claimresponses-xml,1,1,0
Cross.list-claims,1,0,0
Cross.list-claims-json,1,1,0
Cross.list-claims-xml,1,1,0
Cross.list-clinicalimpressions,1,0,0
Cross.list-clinicalimpressions-json,1,0,0
Cross.list-clinicalimpressions-xml,1,0,0
Cross.list-codesystems,1,1,5905
Cross.list-codesystems-json,1,1,6000
Cross.list-codesystems-xml,1,1,5981
Cross.list-communicationrequests,1,0,0
Cross.list-communicationrequests-json,1,0,0
Cross.list-communicationrequests-xml,1,1,0
Cross.list-communications,1,0,0
Cross.list-communications-json,1,0,0
Cross.list-communications-xml,1,0,0
Cross.list-compartmentdefinitions,1,0,0
Cross.list-compartmentdefinitions-json,1,0,0
Cross.list-compartmentdefinitions-xml,1,0,0
Cross.list-compositions,1,0,552
Cross.list-compositions-json,1,0,567
Cross.list-compositions-xml,1,1,564
Cross.list-conceptmaps,1,0,0
Cross.list-conceptmaps-json,1,1,0
Cross.list-conceptmaps-xml,1,1,0
Cross.list-conditions,1,0,146
Cross.list-conditions-json,1,0,151
Cross.list-conditions-xml,1,0,150
Cross.list-consents,1,0,0
Cross.list-consents-json,1,1,0
Cross.list-consents-xml,1,1,0
Cross.list-contracts,1,0,0
Cross.list-contracts-json,1,1,0
Cross.list-contracts-xml,1,1,0
Cross.list-coverageeligibilityrequests,1,0,0
Cross.list-coverageeligibilityrequests-json,1,0,0
Cross.list-coverageeligibilityrequests-xml,1,0,0
Cross.list-coverageeligibilityresponses,1,0,0
Cross.list-coverageeligibilityresponses-json,1,0,0
Cross.list-coverageeligibilityresponses-xml,1,0,0
Cross.list-coverages,1,0,268
Cross.list-coverages-json,1,0,278
Cross.list-coverages-xml,1,0,276
Cross.list-detectedissues,1,0,0
Cross.list-detectedissues-json,1,0,0
Cross.list-detectedissues-xml,1,0,0
Cross.list-devicedefinitions,1,0,0
Cross.list-devicedefinitions-json,1,1,0
Cross.list-devicedefinitions-xml,1,1,0
Cross.list-devicemetrics,1,0,0
Cross.list-devicemetrics-json,1,0,0
Cross.list-devicemetrics-xml,1,1,0
Cross.list-devicerequests,1,0,0
Cross.list-devicerequests-json,1,0,0
Cross.list-devicerequests-xml,1,0,0
Cross.list-devices,1,0,137
Cross.list-devices-json,1,0,142
Cross.list-devices-xml,1,0,141
Cross.list-deviceusestatements,1,0,0
Cross.list-deviceusestatements-json,1,0,0
Cross.list-deviceusestatements-xml,1,0,0
Cross.list-diagnosticreports,1,0,0
Cross.list-diagnosticreports-json,1,1,0
Cross.list-diagnosticreports-xml,1,1,0
Cross.list-documentmanifests,1,0,0
Cross.list-documentmanifests-json,1,1,0
Cross.list-documentmanifests-xml,1,1,0
Cross.list-documentreferences,1,0,0
Cross.list-documentreferences-json,1,0,0
Cross.list-documentreferences-xml,1,0,0
Cross.list-domainresources,1,0,0
Cross.list-domainresources-json,1,0,0
Cross.list-domainresources-xml,1,0,0
Cross.list-effectevidencesyntheses,1,0,0
Cross.list-effectevidencesyntheses-json,1,0,0
Cross.list-effectevidencesyntheses-xml,1,1,0
Cross.list-encounters,1,0,292
Cross.list-encounters-json,1,0,302
Cross.list-encounters-xml,1,0,300
Cross.list-endpoints,1,0,234
Cross.list-endpoints-json,1,0,244
Cross.list-endpoints-xml,1,1,242
Cross.list-enrollmentrequests,1,0,0
